file,folder,qualifies,seconds,drum_stems,bass_stems,synth_stems,acoustic_stems,synth_note_share,sha256
score-5015825-01.mid,accepted,yes,255.4,9,2,14,0,0.0,3b15615faea9cd5c61bc6ffb517734fbc89cc212d44f42f3d653cd008e737634
score-5284468-01.mid,accepted,no,81.0,4,0,0,15,0.0,9f36897ebc55d947d51b2da77af015edb197f9c984a4ea8454a5964a516cd5fa
score-5322310-01.mid,accepted,yes,152.0,5,2,6,0,0.919,b5a974b5a1ac7a8be481a04f0672809034f9305d28a4f97da3983eac0a30c621
score-5587698-01.mid,accepted,yes,200.0,1,1,4,0,0.677,31f7e569689a928d02becebc1bfb58b7ad5085599a7ca325de799b2d5bfb8e93
score-6182791-01.mid,accepted,yes,420.5,1,1,10,0,1.0,180d5277838bbf3778b3f3fef897ea5ed0b8887ba44f1b13b7bac319cd72aa02
score-6193854-01.mid,accepted,no,304.3,3,0,1,0,0.629,21ae8e767e6ef013307bf7713d034b3920fff8bc1f9fed9fd635be6307673e70
score-6727532-01.mid,accepted,yes,316.2,5,2,2,0,0.376,034198124f366e964351cfe5ecdd79428aa144968e0c2bd5d471a52876d434c2
score-6854162-01.mid,accepted,yes,326.8,3,2,9,0,0.664,4635c754d452796136abf6db9dced4020892270068ee457b88dc0b9dec84658d
score-7010373-01.mid,accepted,yes,428.8,1,1,4,0,0.586,8ab259cbe2c756919ca1561cde60b86ddf1b4379cd2851b635ac6379e6eacd9c
score-7047347-01.mid,accepted,yes,216.4,2,2,3,0,0.032,86a148577b53653a3389eeadb591ed1f05bd1df2add170667f72782fdd168342
score-7070597-01.mid,accepted,no,101.8,5,0,5,0,0.569,3a8318c889f825ef4746e45d090aae29452531527b92d52f0b7a646710c9e0eb
score-7261193-01.mid,accepted,yes,246.0,1,2,7,1,0.626,e675871e26b037bc54ddff06767f1452b87b46a902215ce4cc3a7ad7176d15fc
score-7764077-01.mid,accepted,yes,186.1,3,2,2,0,0.356,baa1a06e39e3386b86731fa0be287af6bda1531bbe30e8231f142c4971c7371a
score-8291423-01.mid,accepted,yes,785.2,1,1,6,1,0.546,1d7320c311b2789c0a54bcbf34ed09a212ba44500927bf435d65d60df8fa4d2b
score-8576477-01.mid,accepted,yes,96.2,1,1,1,2,0.075,ce5018fe5598ed0ba8760df9d6ed89e264026e15c6aa2ea57100e4938cb7667e
score-9176907-01.mid,accepted,yes,299.7,6,3,1,1,0.344,4a276c91f768ecc6ceb224dde741f372f2effb9f586008dc4e0540cebd58f9d0
score-9180402-01.mid,accepted,yes,247.1,1,1,10,0,0.495,1f5553e7d2d98a59680d2d06a7f02659a3dd7ffaf8ad880804e537e2a0f4b388
sfwefewg-01.mid,accepted,yes,331.6,3,1,6,0,0.536,27f159b213bb95dac031cec124fae3e8fed3b5b0bd0e8efcaf3f8fd1246b8ab6
Shelter - Porter Robinson Madeon-02.mid,accepted,no,246.7,0,0,1,3,0.0,118ebeeca5cf8138d9de56a1f51ff22f6a7fb91fae0dd9bc1d5f26cc982b98dd
Slip-01.mid,accepted,no,424.9,5,0,0,0,0.0,299f952aa54e7de626e80f7579baf24b9a74431ad1dec95e3f790e82f92109db
Smart Race-01.mid,accepted,yes,256.0,2,1,6,0,0.715,f02a5481908e68cb4401a4d52459ea50f3ab44635844ce5c7d6c666aafa05450
SmokeScreen Electronic Remix-01.mid,accepted,yes,212.3,1,1,6,0,0.505,3ad99d03fdc5e642017888ab8bd5abc91555ccde8fe8b792488cce3fe4c73d65
Snowdin Town-01.mid,accepted,no,76.1,1,0,0,1,0.0,8128a5f87e357753e7da882bc503c24eab9881ec4a5abe9e0111b3b17a77569e
So Into You It Breaks My Heart-01.mid,accepted,no,112.0,0,0,0,0,0.0,3de949a61b849c09348ef5e13dc3aca899ed8574b6fd475add4584d2827bc508
Something About Us-01.mid,accepted,yes,224.8,1,3,4,0,0.394,d23138353b5b29d9024fbb2808d87a49e6a597c49a3bec8a95ad865730610e2f
Space Song Real-01.mid,accepted,yes,326.7,1,1,4,1,0.31,c8f2f005844b28aad0f8bb2d7eec5956d5454fe7ec85c219e58de7e9c8f03a92
Starcraft 1 Terran-01.mid,accepted,yes,229.2,3,1,2,0,0.059,e667f37859da3ccd44043bbe3b72ba76eff3aa0ee27813c070cf32d904b0303e
Stardust Speedway Bad Future US-01.mid,accepted,yes,220.1,1,2,5,0,0.269,52c2eb0d90105ca566a3ffbec5a1309c04ac7961372684d940b8f0f892e6af13
Street Party BMC-01.mid,accepted,yes,146.3,2,2,4,1,0.208,c6b0d4e4e4e25d9cff0f410d2aa9cf34192b03034d311ea5f42432a7d1fcb8a6
Strobe 1st mvt-01.mid,accepted,no,242.7,0,0,0,0,0.0,bbee0c1c4b98f1878465205e8632ba4e7fee441d9b7acc6609fd55db8deeb38b
Strobe Faders-01.mid,accepted,yes,294.4,1,1,1,0,0.01,6de99755b6532d4e202959a96c68fad2fa6d50b2c70c4a19e8fa13069f7fec32
Strobe Streichquartett-01.mid,accepted,no,242.7,0,0,0,3,0.0,707ef45d34a27eb8a8633edae57c6d5945848b67e50ef59ae4bf9c116bcc7a51
Suffocation-01.mid,accepted,no,238.0,4,0,3,0,0.799,36dbe74329c7a2256c067bce52d086585ec17e21f51137eedfc2814a501da233
techno mix-01.mid,accepted,no,546.3,1,0,0,4,0.0,0a3a85a9a9250e4ec75d4ff94f74a350a7e073c4a48c99000163c8640173c604
Techno Toujours Pareil-01.mid,accepted,no,192.6,1,1,1,3,0.218,2da2b69c4f74b15099aa422e1b52656dce4ece83fcb6e2629306c4ff98dfc230
Teminite - State Of Mind Dubstep Piano-01.mid,accepted,no,354.7,0,0,0,0,0.0,db1ed95d09afe8972259c89362b1e0cfc1088771ff1acd54e065703892c4b096
The Alien-01.mid,accepted,yes,572.8,2,1,4,0,0.108,c8f0567ca28b96bd5c3ad63bdfa1301d3393527f03c56794336c4ccfabd8be4c
THE GIRL FROM IPANEMA by JP-01.mid,accepted,no,192.5,2,2,0,0,0.0,67c56d52e0ec0498eee58f8a1f9362a119025ce3a0e88c96ce07134afd5156b8
The Middle-01.mid,accepted,no,178.9,0,0,0,7,0.0,7f4564081f9b827e64724296b1dc24af28cc93813fe58f59f0d7de66b11c6b8d
The World Revolving-01.mid,accepted,no,202.1,2,0,0,4,0.0,41197bd2f3cf35ba66881a7f61581489dc7f9f11fe7d5fc1d8e0b2bc316f9eb3
TheFatRat - Time Lapse-01.mid,accepted,no,179.5,3,0,0,0,0.0,6106841f22c7dd315a1e648710807fbf5bce2f900c1f6f6d62adde3f20abea28
TiredRemixes - Alan Walker-01.mid,accepted,yes,212.0,1,3,1,0,0.394,cec4a40614d06beff4afec51179d89cbda2fb859bccc3086aac99d8fa34625af
Titre-01.mid,accepted,no,215.7,1,0,0,7,0.0,c0af2d77f8a1054473a22a90ece870bb7ef58d14090340e20885fe52ebeca024
To the Unknown Man-01.mid,accepted,yes,520.7,2,1,6,0,0.587,48db3d02f6215f938a65cc1266b0e8f37582798cb0297eca87a546e758bdd67b
Trance Redux-01.mid,accepted,no,186.0,1,0,4,0,0.374,caa776e8c3df196b793874c20c67ec07061e267254e0a55889c2c816d30866ae
Triple Trouble-01.mid,accepted,yes,504.9,2,3,14,0,0.513,463e34dc473bf0d9c3351166bac72ef9324423a55577cf5dc3d176095bbe28dd
Tropical EDM First Draft - Unfinished-01.mid,accepted,no,166.3,4,2,0,0,0.301,cdc12c339508dfa083decff36746e566f967cc47d96eb4fcf87bb1fa61b7942e
Unbenannte Partitur-01.mid,accepted,yes,496.0,1,1,5,0,0.859,150be63cef8a5b9753f0a21ffe1bec558bd2a0aa2d0d77e24972c79b5ebeeec6
Unholy Insurgency-01.mid,accepted,yes,419.3,1,1,4,1,0.051,b718b530be8e7092764f3967865fcbe68344b68a1616db2f6258ae1950b3d46b
United We Dance Piano Cover-01.mid,accepted,no,221.4,0,0,0,0,0.0,7746738ea5b50da00476c1978dd60526926503eeda381c6baa676f7a71ef2368
Unity-01.mid,accepted,yes,249.1,1,1,8,0,0.804,64a3c8a26eb575b5bf5d87426027a908d07d2ceadd72683ab2189983800f4bf3
UNSTOPPABLE Edm Song-01.mid,accepted,yes,166.0,3,1,7,0,0.575,a2c3a5572a43ebe777f79133c7093acad29e9179b1f70051fecb98d2f9dd9999
UNSTOPPABLE Edm Song-02.mid,accepted,no,168.0,3,0,7,0,0.439,fdd4e3b4ce506868681474d49ea97104ebcc2e3447bd4287b32ac90ed1f1d0fb
Uprising-01.mid,accepted,no,201.4,3,0,0,0,0.0,556caaf21670baf98e8df448b888a627086c2f8dc6b679bd26b47d479d9886c5
Venus In Furs-01.mid,accepted,no,316.7,2,0,0,2,0.0,c053d0ebd7b8cf1b55b5de919497ca47695bb79ef0fb294a4903ed2979290b9c
vg music vibes-01.mid,accepted,yes,197.3,2,2,5,0,0.514,2f41525750764e8a0a6aba09f135e1cf76bfa9860791ac92ca3a5240f69fbd8a
Viva La Vida-01.mid,accepted,no,233.6,1,1,0,1,0.0,126edae53ef65e4bda5652120dd8778808453cb5fd67adc29461ccd0c5274c82
Wake Me UP-01.mid,accepted,no,242.2,1,0,0,6,0.0,694c085f6b7166350dc261a854baddbfeb9f449573252b2921523b527701e536
Whats Love Got to Do with It-01.mid,accepted,no,201.0,0,0,0,0,0.0,7eac2772542022efe09ed2e4a9bed1feb2f6a360b8fbe5e712daf9e38e970cd6
Working Title-01.mid,accepted,yes,124.3,1,2,1,0,0.253,2e74a64d2deb7984aab8537d58c5b1aa5c0c71c522f79ef4af325ca21fc24281
Xenogenesis 4-10-16 Upload-01.mid,accepted,no,187.4,3,0,0,8,0.0,9f259b0b494a9a01b4c0df4a44f76ee849b093336260fd9eba5c61dd4f3f1b7c
You amp Me Flume Remix-01.mid,accepted,no,292.2,1,1,0,10,0.0,173d3c75a3ca5e36ccd93a0b4782e994bd224b35914578065a44b8c68d82a619
You amp Me Flume Remix-02.mid,accepted,no,333.3,1,1,0,6,0.0,dc3efdf7e0fc8c20998dc47bfd00dfd03cea98df7eedbb966498de45636ebb4e
You amp Me Full-01.mid,accepted,no,292.5,0,1,0,5,0.0,f3cdc8eb54f2a670ec1d9bbb024090b1ac1e088c4f4c1ea7db10696b9f0aa578
You amp Me-01.mid,accepted,no,313.3,1,1,0,5,0.0,185718e3b1057b8c4a56ba0db82b73a210492e6570843fea3bff2bf5563c691d
You amp Me-02.mid,accepted,no,294.8,4,0,0,1,0.0,b0edbe623a1f770ea170c41b91eb9b24931c2cbbcf3643a32a98345c4d4aa5d7
You amp Me-03.mid,accepted,no,306.7,1,0,0,6,0.0,f49b20dd15cbf3bea960e0f1ceae8c28089f3339985da83c1936fac0e71ff724
You amp Me-04.mid,accepted,no,303.3,0,0,0,2,0.0,3b6c9a63a92ee370d3ce09e5d9ea2a905eaef504e3275baed15e56c50ca2d08b
you and me final copy-01.mid,accepted,no,340.0,0,1,0,4,0.0,bd4e396578ddb38c680f9c227d77f43be0c3c80cf83139e00238434cb9198f2e
YOU AND ME-01.mid,accepted,no,306.4,1,0,0,4,0.0,45b54503f3b28f17ae8487ee8483d31b727e099b1c97a40322c08643ae1d3f77
Zenith-01.mid,accepted,yes,274.1,1,3,4,2,0.344,5e41ff432bf69cc72777928270bf8860c07aa369fe0b15f76520b3e54abbd1d0
Катюша-01.mid,accepted,yes,120.0,5,2,3,0,0.459,6f2ac9559d8346a8109806200af36fa5380ab0bad5fbe5df2ce27adb0225ad0a
John Miles - Music-01.mid,review,no,348.3,7,1,1,5,0.0,6982cb5a3f96a38722f24e3045a62c462e62be682bc532974f177eaa9bbdc3fd
Right Where It Belongs-01.mid,review,yes,362.6,4,3,6,0,0.255,b86cde726ba9684b78f883c176b12428c4d181e88684b777ade6f8bb0eeda22e
score-5949647-01.mid,review,yes,431.6,2,1,1,0,0.026,34ec4cd2651218edc7213e2209b6470020cac57f5f80ed0158f675330edff649
The Edge of Dawn Seasons of Warfare-01.mid,review,yes,334.4,2,2,4,3,0.119,9382307eebd5e800f42984ef56b14003d453f069486d7647d3cc11ea3b975d0a
The Storm Brewed Inside-01.mid,review,yes,334.2,8,2,5,1,0.063,e68023901307dac8c480acfb16d04aff565ec5ff873d6a07f65789bae88280be
34夢灯籠34 Dream Lantern-01.mid,rejected,yes,337.9,5,1,2,2,0.058,185d91e044e55c751d824b1522a8fca31124d4f15919371348a505a0c6c8035a
Abacab-01.mid,rejected,yes,397.8,1,1,3,0,0.353,df6e66937b957afe7ba27491f9a8a4a28ac9b5f73f8e2a1cb49abfd5e8ebd2aa
history of the entire world i guess-01.mid,rejected,yes,125.4,4,1,6,0,0.24,c6e3ad81e2c49868f58c3f0f487f5f69000e2f3f91b06fa9cc79a36deefba095
Lingus-01.mid,rejected,yes,622.9,2,1,3,3,0.391,5420f260515af4c94c04fbe14e6bda5554f80fd21136bbea1ecec3219031350c
Plastic Love-01.mid,rejected,yes,489.9,7,1,1,2,0.009,aae0ff03a8625d2628915042a4d180384d488511d25b5d15a906e5ca3b6e1dad
Shofukan-01.mid,rejected,yes,342.7,1,1,2,2,0.078,9c56c00d45e9254c59d6a412a60e4185c21c253b4a4efb70d29d6b62cf3ad557
The Court of the Crimson King-01.mid,rejected,yes,486.4,1,1,3,1,0.25,c7143da4dd3c0f1180bf0029dca89e58524707c6e263c1de6f41f547da2d0731
The Final Coountdown-01.mid,rejected,yes,325.4,4,2,6,0,0.245,d741285be05849278bb37700b5d9005968f5456db0016120e197e1e50fe44335
The Lamia-01.mid,rejected,yes,462.9,1,1,1,0,0.0,c34e52695c0d57b9ed46a3724e93ad78b841896a881b135ea94b0bc731816c20
Trance Music For Racing Game-01.mid,rejected,yes,325.3,1,2,1,0,0.066,74fd20f25d8d85ea76bc641377b9f7d0624afd6417bbe379b85e123492ea7bd2
